School Name,Nickname,Mascot,Conference
"UCSB","UCSB","Gauchos","Big West Conference"
"UMBC","UMBC","Retrievers","America East Conference"
"UNC Asheville","UNC Asheville","Bulldogs","Big South Conference"
"UNC Greensboro","UNCG","Spartans","Southern Conference"
"Univeristy of North Carolina - Ashville","UNC Ashville","Bulldogs","Big South Conference"
"University of Alabama","Alabama","Crimson Tide","Southeastern Conference"
"University of Alabama at Birmingham","UAB","Blazers","American Athletic Conference"
"University of Arizona","Arizona","Wildcats","Big 12 Conference"
"University of Arkansas","Arkansas","Razorbacks","Southeastern Conference"
"University of California - Berkley","Cal","Golden Bears","Atlantic Coast Conference"
"University of California - LA","UCLA","Bruins","Big Ten Conference"
"University of California - Santa Barbara","UCSB","Gauchos","Mountain West Conference"
"University of Central Florida","UCF","Knights","Big 12 Conference"
"University of Cincinnati","Cincy","Bearcats","Big 12 Conference"
"University of Colorado Boulder","Colorado","Buffaloes","Big 12 Conference"
"University of Connecticut","UConn","Huskies","Big East Conference"
"University of Florida","Florida","Gators","Southeastern Conference"
"University of Georgia","UGA","Bulldogs","Southeastern Conference"
"University of Houston","Houston","Cougars","Big 12 Conference"
"University of Iowa State","Iowa St.","Cyclones","Big 12 Conference"
"University of Kansas","Kansas","Jayhawks","Big 12 Conference"
"University of Kentucky","UK","Wildcats","Southeastern Conference"
"University of Louisville","Louisville","Cardinals","Atlantic Coast Conference"
"University of Maryland","UMD","Terrapins","Big Ten Conference"
"University of Memphis","Memphis","Tigers","American Athletic Conference"
"University of Miami","Maimi U","Hurricanes","Atlantic Coast Conference"
"University of Mississippi","Ole Miss","Rebels","Southeastern Conference"
"University of Missouri","Mizzou","Tigers","Southeastern Conference"
"University of North Carolina","UNC","Tar Heels","Atlantic Coast Conference"
"University of North Carolina Wilmington","UNC Wilmington","Seahawks","Coastal Athletic Association"
"University of North Texas","UNT","Mean Green","American Athletic Conference"
"University of Notre Dame","Notre Dame","Fighting Irish","Atlantic Coast Conference"
"University of Oklahoma","Oklahoma","Sooners","Southeastern Conference"
"University of Oregon","Oregon","Ducks","Big Ten Conference"
"University of Pennsylvania","Penn","Quakers","Ivy League"
"University of Pittsburgh","Pitt","Panthers","Atlantic Coast Conference"
"University of San Diego","San Diego","Toreros","West Coast Conference"
"University of San Francisco","San Francisco","Dons","West Coast Conference"
"University of South Carolina","S. Carolina","Gamecocks","Southeastern Conference"
"University of South Florida","USF","Bulls","American Athletic Conference"
"University of Southern California","USC","Trojans","Big Ten Conference"
"University of Tennessee","Tennessee","Volunteers","Southeastern Conference"
"University of Texas","Texas","Longhorns","Southeastern Conference"
"University of Texas at El Paso","UTEP","Miners","Conference USA"
"University of the Pacific","Pacific","Tigers","West Coast Conference"
"University of Tulsa","Tulsa","Golden Hurricane","American Athletic Conference"
"University of Utah","Utah","Utes","Big 12 Conference"
"University of Virginia","UVA","Cavaliers","Atlantic Coast Conference"
"University of Washington","UW","Huskies","Big Ten Conference"
"UNLV","UNLV","Rebels","Mountain West Conference"
"USC Upstate","USC Upstate","Spartans","Big South Conference"
"UT Martin","UTM","Skyhawks","Ohio Valley Conference"
"Utah State","Utah State","Aggies","Mountain West Conference"
"Utah Tech","Utah Tech","Trailblazers","Western Athletic Conference"
"Utah Valley","UVU","Wolverines","Western Athletic Conference"
"Valparaiso","Valpo","Beacons","Missouri Valley Conference"
"Vanderbilt University","Vandy","Commodores","Southeastern Conference"
"Vermont","UVM","Catamounts","America East Conference"
"Villanova University","Villanova","Wildcats","Big East Conference"
"Virginia Commonwealth University","VCU","Rams","Atlantic 10 Conference"
"Virginia Tech","VT","Hokies","Atlantic Coast Conference"
"VMI","VMI","Keydets","Southern Conference"
"Wagner","Wagner","Seahawks","Northeast Conference"
"Wake Forest University","Wake Forest","Demon Deacons","Atlantic Coast Conference"
"Washington State University","Wash St.","Cougars","Pac-12 Conference"
"Weber State","Weber State","Wildcats","Big Sky Conference"
"West Virginia University","West Virginia","Mountaineers","Big 12 Conference"
"Western Carolina","Western Carolina","Catamounts","Southern Conference"
"Western Kentucky University","WKU","Hilltoppers","Conference USA"
"Western Michigan","Western Michigan","Broncos","Mid-American Conference"
"Wichita State University","Wichita State","Shockers","American Athletic Conference"
"William & Mary","William & Mary","Tribe","Coastal Athletic Association"
"Winthrop","Winthrop","Eagles","Big South Conference"
"Wisconsin","Wisconsin","Badgers","Big Ten Conference"
"Wofford","Wofford","Terriers","Southern Conference"
"Wright State","Wright State","Raiders","Horizon League"
"Wyoming","Wyoming","Cowboys","Mountain West Conference"
"Xavier University","Xavier","Musketeers","Big East Conference"
"Yale","Yale","Bulldogs","Ivy League"
"Youngstown State","YSU","Penguins","Horizon League"
